Name,Age,Title,Company,Category
Tunji Adeniyi-Jones,27,Artist,,Art & Style
Farah Al Qasimi,28,Photographer,,Art & Style
Danny Casale,24,Illustrator,Coolman Media,Art & Style
Yixi Chen,26,Founder,Chemist Creations,Art & Style
Reese Cooper,22,Fashion Designer,Reese Cooper,Art & Style
Sally Deng,26,Illustrator,,Art & Style
Dani Egna,26,Tattoo Artist,INKED by Dani,Art & Style
Louis Fratino,26,Artist,,Art & Style
Marly Gallardo,26,Illustrator,,Art & Style
Ilana Harris-Babou,28,Artist,,Art & Style
Lily Hevesh,21,Domino Artist,Hevesh5,Art & Style
Acacia Johnson,29,Photographer,Acacia Johnson,Art & Style
Jarrett Key,29,Artist,,Art & Style
Jon Key,29,Artist,,Art & Style
Myles Loftin,21,Photographer,,Art & Style
Grace Lynne Haynes,27,Artist,,Art & Style
Saad Moosajee,26,Artist,,Art & Style
Lauren Nouchi,28,Fashion Designer,Apparis,Art & Style
Lisa Qu,22,Fashion Designer,Lisa Qu,Art & Style
Emily Ratajkowski,28,Fashion Designer,Inamorata,Art & Style
sz,28,Jewelry Designer,J. Hannah,Art & Style
Christopher John Rogers,26,Fashion Designer,Christopher John Rogers,Art & Style
Maisie Schloss,28,Fashion Designer,Maisie Wilen,Art & Style
Vaughn Spann,27,Artist,,Art & Style
Dae Lim,26,Fashion Designers,Sundae School,Art & Style
Mia Park,28,Fashion Designers,Sundae School,Art & Style
Mei-Lan Tan,29,Cofounder,UME,Art & Style
Amber Vittoria,29,Illustrator,,Art & Style
Diyou Wu,29,Illustrator,,Art & Style
Shilpa Yarlagadda,23,Cofounder,Shiffon,Art & Style
Tom Canterino,28,Cofounder,Ageless Innovation,Consumer Technology
Dan Clark,29,CEO,Brain.fm,Consumer Technology
Joseph Cohen,28,Founder,Universe,Consumer Technology
Maximillian Hellerstein,24,Cofounders,Down to Shop,Consumer Technology
Cyrus Summerlin,24,Cofounders,Down to Shop,Consumer Technology
A. Toby Espinosa,29,Vice President,"Global Business Development, DoorDash",Consumer Technology
Tyler Faux,29,Cofounder,Supergreat,Consumer Technology
Tyler Kennedy,28,Cofounders,Fetch Rewards,Consumer Technology
Wes Schroll,26,Cofounders,Fetch Rewards,Consumer Technology
Ryan Foutty,29,Global Head of Business Development,Lime,Consumer Technology
Nikhil Goel,28,Head of Product,Uber Elevate,Consumer Technology
Joe Hollier,29,Cofounder,Light,Consumer Technology
Ben Jackson,27,Founder,Bungii,Consumer Technology
Julia Enthoven,26,Cofounders,Kapwing,Consumer Technology
Eric Lu,26,Cofounders,Kapwing,Consumer Technology
David Kolodny,29,Cofounder,Wilbur Labs,Consumer Technology
Anna Lee,28,Cofounder,Lioness,Consumer Technology
Benjamin Lee,29,Head of Product Design,Postmates,Consumer Technology
Ouriel Lemmel,29,Cofounder,WinIt,Consumer Technology
Hayley Leibson,26,Cofounders,Lunchclub,Consumer Technology
Scott Wu,22,Cofounders,Lunchclub,Consumer Technology
Fares Ksebati,28,Cofounders,MySwimPro,Consumer Technology
Adam Oxner,27,Cofounders,MySwimPro,Consumer Technology
Diesel Peltz,26,Cofounder,Twenty,Consumer Technology
Josh Augustin,27,Cofounders,Pivot,Consumer Technology
Moawia Eldeeb,27,Cofounders,Pivot,Consumer Technology
Alexander Schiffhauer,28,Product Lead,"Computational Photography, Google",Consumer Technology
Jesar Shah,25,Product Manager,Twitter,Consumer Technology
Jamie Marshall,23,Cofounders,Snackpass,Consumer Technology
Kevin Tan,26,Cofounders,Snackpass,Consumer Technology
Devon Townsend,29,Cofounder,Cameo,Consumer Technology
Alex Ma,26,Cofounders,TTYL,Consumer Technology
Austen Ma,24,Cofounders,TTYL,Consumer Technology
Jarrett Chen,29,Cofounders,UNUM,Consumer Technology
Dillon Morgan,27,Cofounders,UNUM,Consumer Technology
Barrett Glasauer,28,Cofounders,WanderJaunt,Consumer Technology
s Green,29,Cofounders,WanderJaunt,Consumer Technology
Hriday Kemburu,25,Jay Patel,25;,Consumer Technology
Sharon Zeng,29,Product Manager,Instagram,Consumer Technology
Massi Basiri,26,Cofounders,ApplyBoard,Education
Meti Basiri,26,Cofounders,ApplyBoard,Education
Jared Brown,28,Associate,"My Brother's Keeper, Obama Foundation",Education
Kiara Butler,29,Founder,Diversity Talks,Education
Rob Carroll,26,Cofounders,CampusReel,Education
Nick Freud,27,Cofounders,CampusReel,Education
Berk Coker,25,Cofounder,TeachFX,Education
Manu Edakara,27,Program Director,iVenture Accelerator,Education
Carolina Recchi,26,Cofounders,EdSights,Education
Claudia Recchi,24,Cofounders,EdSights,Education
Daniel Fischer,29,Raaid Hossain,29;,Education
