Name,Age,Title,Company,Category
"Kendall Jenner","28","FOUNDER","818 TEQUILA","Art & Style"
"Paul Hill","24","FOUNDER","STRADA","Art & Style"
"Adefolakunmi Adenugba","28","FOUNDER","ISE-DA","Art & Style"
"Tia Adeola","26","FOUNDER","TIA ADEOLA","Art & Style"
"Ramin Ahmari","28","FOUNDER","FINESSE","Art & Style"
"Akea Brionne","27","ARTIST","","Art & Style"
"Jared Ellner","27","FOUNDER","ELLNER STYLING STUDIOS","Art & Style"
"Andrew Gelwicks","29","CELEBRITY STYLIST","THE ONLY AGENCY","Art & Style"
"Josh Holm","29","FOUNDER","CASTLES & QUEENS","Art & Style"
"Daniel Kapp, Sam Kapp","28, 28","COFOUNDERS","KAPP KAPP","Art & Style"
"Chella Man","25","ARTIST","","Art & Style"
"Gisela McDaniel","28","ARTIST","","Art & Style"
"Kreshonna Keane","28","FOUNDER","VISUALS BY K STUDIOS","Art & Style"
"Isabella Lalonde","27","FOUNDER","BEEPY BELLA","Art & Style"
"Skye Lin","29","FOUNDER","PINKER TIMES","Art & Style"
"Ludovic Nkoth","29","ARTIST","","Art & Style"
"Ellie Chen, Jensen Neff","25, 26","COFOUNDERS","ODDLI","Art & Style"
"Ambrose Rhapsody Murray","27","ARTIST","","Art & Style"
"LaRissa Rogers","27","ARTIST","","Art & Style"
"Courtney Spears","29","DANCER","","Art & Style"
"Justice Faith Betty, Nia Faith Betty","26, 22","COFOUNDERS","RÃVOLUTIONNAIRE","Art & Style"
"Rupal Banerjee","25","FOUNDER","RU BY RUPAL","Art & Style"
"Kathia St. Hilaire","28","ARTIST","","Art & Style"
"Tillie Walden","27","CARTOONIST","","Art & Style"
"Kendra Walker","27","FOUNDER","ATLANTA ART WEEK","Art & Style"
"Jacob Webster","25","PHOTOGRAPHER","","Art & Style"
"Grace Whiteside","28","FOUNDER","STICKY GLASS","Art & Style"
"Sophia Wilson","23","PHOTOGRAPHER","","Art & Style"
"Brianna Wu","27","FOUNDER","BRIAVIA","Art & Style"
"Oscar yi Hou","25","ARTIST","","Art & Style"
"Jordan E. Cooper","28","PLAYWRIGHT","","Hollywood & Entertainment"
"Maitreyi Ramakrishnan","21","ACTOR","","Hollywood & Entertainment"
"Braden Bochner","28","EXECUTIVE PRODUCER","UNWELL","Hollywood & Entertainment"
"Jasmin Savoy Brown","29","ACTOR","","Hollywood & Entertainment"
"Eric Jordan Darnell","29","AGENT","WILLIAM MORRIS ENDEAVOR","Hollywood & Entertainment"
"Andrew Barth Feldman","21","ACTOR","","Hollywood & Entertainment"
"Selina Fillinger","29","PLAYWRIGHT","","Hollywood & Entertainment"
"Molly Gordon","28","ACTOR","","Hollywood & Entertainment"
"Holly Hubsher","28","SENIOR VICE PRESIDENT OF DEVELOPMENT & PRODUCTION","BAY MILLS STUDIOS","Hollywood & Entertainment"
"Tiffany K. Guillen","29","COFOUNDER","CREATIVE X ENTERTAINMENT","Hollywood & Entertainment"
"Emma Seligman","28","DIRECTOR","","Hollywood & Entertainment"
"Celeste Yim","27","WRITING SUPERVISOR","SATURDAY NIGHT LIVE","Hollywood & Entertainment"
"Sabina Kashi","29","COMEDY TALENT AGENT","CAA","Hollywood & Entertainment"
"Mekki Leeper","29","COMEDIAN","","Hollywood & Entertainment"
"Jesse Light","29","HEAD OF DEVELOPMENT","HAYMAKER EAST CONTENT","Hollywood & Entertainment"
"Jenna Ortega","21","ACTOR","","Hollywood & Entertainment"
"Jason Pan","27","MANAGER","SPECTACLE ORIGINAL SERIES, NETFLIX","Hollywood & Entertainment"
"Martin Herlihy, John Higgins, Ben Marshall","25, 28, 28","COMEDIANS","PLEASE DON'T DESTROY","Hollywood & Entertainment"
"Haley Lu Richardson","28","ACTOR","","Hollywood & Entertainment"
"Matt Rife","28","CREATOR","","Hollywood & Entertainment"
"Gabe Kunda","29","VOICE ACTOR","","Hollywood & Entertainment"
"Lexi Underwood","20","ACTOR","","Hollywood & Entertainment"
"Michael Ritter","29","PRODUCER","STREET ENTERTAINMENT","Hollywood & Entertainment"
"Emily Ruhl","27","FOUNDER","PUBLIC SCHOOL PICTURES","Hollywood & Entertainment"
"Shelby Schenkman","27","AGENT","UNITED TALENT AGENCY","Hollywood & Entertainment"
"Noah Schnapp","19","ACTOR","","Hollywood & Entertainment"
"Alyah Chanelle Scott","26","ACTOR","","Hollywood & Entertainment"
"Rachel Sennott","28","ACTOR","","Hollywood & Entertainment"
"Akanksha Singh","28","COFOUNDER","BACKDROP","Hollywood & Entertainment"
"Cailee Spaeny","25","ACTOR","","Hollywood & Entertainment"
"Robert Felder","29","FOUNDER","BEARBOTTOM CLOTHING","Retail & Ecommerce"
"Austin Long, Mark Prokoudine","27, 29","COFOUNDERS","YOUTOOZ","Retail & Ecommerce"
"Savannah Azad","28","FOUNDER","HAUTE HOME LA","Retail & Ecommerce"
"Riss Barlow","24","COFOUNDER","NANI SWIMWEAR","Retail & Ecommerce"
"Jordan Bentley","27","FOUNDER","HYPLAND","Retail & Ecommerce"
"Erica Cole","27","FOUNDER","NO LIMBITS","Retail & Ecommerce"
"Barbara DelleMonache","29","FOUNDER","CURLS MONTHLY","Retail & Ecommerce"
"Katie Diasti","26","FOUNDER","VIV","Retail & Ecommerce"
"Kadidja Dosso","29","FOUNDER","DOSSO BEAUTY","Retail & Ecommerce"
"Chris Grouchy","29","COFOUNDER","CONVICTIONAL","Retail & Ecommerce"
"Emma Butler","25","FOUNDER","LIBERARE","Retail & Ecommerce"
"Carter Forbes, DJ Gunter","29, 29","COFOUNDERS","FAHLO","Retail & Ecommerce"
"Ruth Ismayelyan","22","FOUNDER","RADIANT COSMETICS","Retail & Ecommerce"
"Jacob Johnson","29","FOUNDER","CALYAN WAX","Retail & Ecommerce"
"Philomina Kane","28","FOUNDER","KIN APPAREL","Retail & Ecommerce"
"Austin Kreinz","28","FOUNDER","ATOMIX LOGISTICS","Retail & Ecommerce"
"Lynn Ma","26","COFOUNDER","FILTERBABY","Retail & Ecommerce"
"Michael Benarde, Shirah Benarde","26, 21","COFOUNDERS","NIGHTCAP","Retail & Ecommerce"
"Brian McMahon, Julia O'Mara","29, 26","COFOUNDERS","PICKLE","Retail & Ecommerce"
"Yukinori Kinoshita, Noah Silverman","23, 23","COFOUNDERS","PLUFL","Retail & Ecommerce"
"Aliyah Marandiz","27","FOUNDER","SUGARDOH","Retail & Ecommerce"
"Anne Nguyen Oliver","28","FOUNDER","HOUSE OF M BEAUTY","Retail & Ecommerce"
"Amira Rasool","28","FOUNDER","THE FOLKLORE GROUP","Retail & Ecommerce"
"Alli Schaper","29","COFOUNDER","SUPERMUSH","Retail & Ecommerce"
"Rachelle SÃ©guin","28","COFOUNDER","OMY LABORATORIES","Retail & Ecommerce"
"Alex Shamir","28","COFOUNDER","YOFI","Retail & Ecommerce"
"Ariana Silvestro","29","FOUNDER","SCENT LAB","Retail & Ecommerce"
"Allison Strumeyer","28","COFOUNDER","DOUBLESOUL","Retail & Ecommerce"
"Katherine Watercutter","27","FOUNDER","GOLD HINGE","Retail & Ecommerce"
"Anthony Zappitelli","29","FOUNDER","ZAPPS WHOLESALE","Retail & Ecommerce"
"Reid Waldman","29","COFOUNDER","VERADERMICS","Healthcare"
"Moseley Andrews, Rory Beyer, Sameer Jafri","28, 28, 27","COFOUNDERS","AVIVE SOLUTIONS","Healthcare"
"Ritika Poddar, Giordana Pulpo","27, 26","COFOUNDERS","ABSTRACTIVE HEALTH","Healthcare"
"David Eng, Nishith Khandwala","29, 28","COFOUNDERS","BUNKERHILL HEALTH","Healthcare"
"Anne Chen","26","COFOUNDER","CROMATIC","Healthcare"
"Junyu Chen","29","FACULTY RESEARCH ASSOCIATE","JOHNS HOPKINS UNIVERSITY","Healthcare"
"Daniel Carballo, Allison Davanzo, Kyle Pina","27, 27, 27","COFOUNDERS","ENCORA THERAPEUTICS","Healthcare"
"Adam Butchy, Utkars Jain, Michael Leasure","29, 28, 29","COFOUNDERS","HEARTIO","Healthcare"
"Jack Hu","28","COFOUNDER","PUMPKINSEED","Healthcare"
"Robbie Felton, Evan Jackson, Alex Rothberg","24, 24, 24","COFOUNDERS","INTUS CARE","Healthcare"
"Emma West","29","COFOUNDER","DIGITAL BIOLOGY","Healthcare"
"Aidan Dewar, Stephanie Liu, Sam Perkins","27, 27, 27","COFOUNDERS","NOURISH","Healthcare"
"Jade Chan, Nathan Lee, Celina Qi, Christophe Rimann","28, 26, 26, 28","COFOUNDERS","JUNIPER","Healthcare"
"Cole Lewis","29","COFOUNDER","CLOVERLEAF BIO","Healthcare"
"Kingson Lin","28","COFOUNDER","MODIFI BIOSCIENCES","Healthcare"
"Nick Hui, Rui Su","28, 29","COFOUNDERS","MEDME HEALTH","Healthcare"
"Konrad Morzkowski","27","COFOUNDER","WEARLINQ","Healthcare"
"Vasu Nadella","28","COFOUNDER","VITAL BIOSCIENCES","Healthcare"
"Kevin Nguyen","29","RESIDENT PHYSICIAN","WEST VIRGINIA UNIVERSITY","Healthcare"
"Joshua Ong","28","RESIDENT PHYSICIAN","UNIVERSITY OF MICHIGAN","Healthcare"
"Shirley Wang","28","PH.D. CANDIDATE","HARVARD UNIVERSITY","Healthcare"
"Christine Simone","28","COFOUNDER","CARIBOU","Healthcare"
"Jon Lensing, Christian Williams","29, 29","COFOUNDERS","OPENLOOP HEALTH","Healthcare"
"Ellen Rudolph","29","COFOUNDER","WELLTHEORY","Healthcare"
"Mohit Sodhi","29","M.D. CANDIDATE","UNIVERSITY OF BRITISH COLUMBIA","Healthcare"
"Daniel Tartakovsky","28","COFOUNDER","CARTWHEEL","Healthcare"
"Connor Tsuchida","28","SCIENTIFIC COFOUNDER","AZALEA THERAPEUTICS","Healthcare"
"Ivana Vasic","29","FOUNDER","VITRA LABS","Healthcare"
"Alex Yang","28","COFOUNDER","CLEARCUT SURGICAL","Healthcare"
"Jose Amich, Raahil Sha","27, 26","COFOUNDERS","ZETA SURGICAL","Healthcare"
"Jagriti Agrawal","28","COFOUNDER","KIRA LEARNING","Consumer Technology"
