Name,Age,Title,Company,Category
Meriem Bennani,29,Artist,,Art & Style
Nicolas Bijan Pakzad,26,Co-Owner,House of Bijan,Art & Style
Vivian Brodie,27,Specialist,Christie's,Art & Style
Maryellis Bunn,25,Founder,Museum of Ice Cream,Art & Style
Adam Charlap Hyman,28,Interior designers,Charlap Hyman & Herrero,Art & Style
Andre Herrero,28,Interior designers,Charlap Hyman & Herrero,Art & Style
Jourdan Dunn,27,Model,,Art & Style
Awol Erizku,29,Artist,,Art & Style
Manuel Gutierrez,26,Beauty Influencer,,Art & Style
Jasmin Larian Hekmat,29,Founder,Cult Gaia,Art & Style
Maria Kazakova,29,Fashion designer,JAHNKOY,Art & Style
Karlie Kloss,25,Supermodel,,Art & Style
Lily Kwong,29,Landscape designer,Studio Lily Kwong,Art & Style
Asher Levine,29,Fashion designer,Asher Levine,Art & Style
Sandy Liang,26,Fashion Designer,Sandy Liang,Art & Style
Olivia Locher,27,Photographer,,Art & Style
Benjamin Milstein,22,Founder,Grey Space Art,Art & Style
Joseph Nahmad,27,Founder,Nahmad Contemporary,Art & Style
Chelsea Neman Nassib,29,Founder,Tappan,Art & Style
re,28,Fashion designer,Musika Frère,Art & Style
Poppy Jamie,27,Leo Seigal,26;,Art & Style
Bunny Rogers,27,Artist,,Art & Style
Diamond Stingily,27,Artist,,Art & Style
Martine Syms,29,Artist,,Art & Style
Ashley Nell Tipton,26,Fashion designer,Ashley Nell Tipton,Art & Style
Adam Vanunu,29,Founder,Cotton Citizen,Art & Style
Armando Veve,28,Illustrator,,Art & Style
Lauren Wasser,29,Model,,Art & Style
Chloe Wise,27,Artist,,Art & Style
Sean Yoro,28,Artist,,Art & Style
Oliver Cameron,29,Cofounder,Voyage,Consumer Technology
Annie Cheung,28,Cofounder,Noon Home,Consumer Technology
Daphne de Jong,28,Technology Program Manager,Amazon Prime Air,Consumer Technology
Matt Howard,28,Cofounders,EatStreet,Consumer Technology
Alex Wyler,28,Cofounders,EatStreet,Consumer Technology
Devin Jameson,24,Matt Reiners,28;,Consumer Technology
Susan Fowler,26,Engineer and Writer,Stripe,Consumer Technology
Nick Handel,25,Product Manager,"Machine Learning, Airbnb",Consumer Technology
Susan Ho,29,Cofounder,Journy,Consumer Technology
Kerry Jones,36,Cofounders,HubHaus,Consumer Technology
Shruti Merchant,32,Cofounders,HubHaus,Consumer Technology
Linda Jiang,28,Head of Industrial Design,Essential Products,Consumer Technology
Han Jin,29,Cofounder,Lucid,Consumer Technology
Sneha Keshwani,24,Product Manager,LinkedIn,Consumer Technology
Philip Kimmey,28,Cofounder,Rover,Consumer Technology
Brian Jones,28,Cofounders,Latch,Consumer Technology
Luke Schoenfelder,28,Cofounders,Latch,Consumer Technology
Marah Lidey,28,Cofounder,Shine,Consumer Technology
Sam Bernstein,23,Cofounders,LoftSmart,Consumer Technology
Sundeep Kumar,25,Cofounders,LoftSmart,Consumer Technology
George Matus,20,Founder,Teal Drones,Consumer Technology
Tariq Meyers,25,Head of Inclusion & Diversity,Lyft,Consumer Technology
Carly Leahy,28,Cofounders,Modern Fertility,Consumer Technology
Afton Vechery,28,Cofounders,Modern Fertility,Consumer Technology
Ali Mohamed,22,Founder,VOUND Technologies,Consumer Technology
Maggie Moran,29,Head of Product,Hopper,Consumer Technology
Tyler Palmer,27,VP of Operations,Patreon,Consumer Technology
Chris Smothers,29,Cofounder,Spacious,Consumer Technology
Francis Davidson,25,Cofounders,Sonder,Consumer Technology
Lucas Pellan,25,Cofounders,Sonder,Consumer Technology
Abhishek Chandra,23,Adam Chekroud,25;,Consumer Technology
Scott Sundvor,27,Cofounder,Nima,Consumer Technology
Weihua Li,28,Cofounders,Thunkable,Consumer Technology
Arun Saigal,26,Cofounders,Thunkable,Consumer Technology
David Walker,29,Cofounder,Triplemint,Consumer Technology
Ashley Yuki,29,Product Manager,Instagram,Consumer Technology
Elyse Burden,28,Cofounder,Real World Scholars,Education
Xiaohoa Michelle Ching,27,Founder,Literator,Education
Vinay Bhaskara,23,Zack Perkins,22;,Education
Allyson Dias,28,Program Manager,Thiel Fellowship,Education
Katie Fang,26,Founder,SchooLinks,Education
Shiv Gaglani,28,Cofounder,Osmosis,Education
a,28,Senior Director,"Strategic Partnerships & External Affairs, Portland Public Schools",Education
Nick Garvin,25,Founder,Stackup,Education
Emily Graslie,28,Chief Curiosity Correspondent,The Field Museum,Education
Andrew Hermalyn,29,EVP,"University Partnerships and Programs, 2U, Inc.",Education
Jomayra Herrera,24,Analyst,"Education Investments, Emerson Collective",Education
Andrew Hill,29,Cofounder,LiftEd,Education
Danielle Hughes,26,Cofounder,"Detroit Speaks, Inc.",Education
Melissa Lee,28,Cofounder,The GREEN Program,Education
Justin Ling,28,Cofounder,EquitySim,Education
Raza Munir,29,Cofounder,Climb Credit,Education
Ricky Hurtado,29,Coexecutive Directors,NC Scholars' Latinx Initiative,Education
Elaine Townsend Utin,27,Coexecutive Directors,NC Scholars' Latinx Initiative,Education
Jackey Li,36,Maggie Peng,37;,Education
Mark Pavlyukovskyy,26,Cofounder,Piper Inc.,Education
Christopher Rim,22,Founder,Command Education Group,Education
Hilary Shirazi,29,Senior Manager,"Corporate Development, LinkedIn",Education
Arjun Singh,29,Cofounder,Gradescope,Education
Michael Benko,28,Cofounders,Student Success Agency,Education
E.J. Carrion,28,Cofounders,Student Success Agency,Education
Yoran Brondsema,28,Cofounders,Sutori,Education
Thomas Ketchell,29,Cofounders,Sutori,Education
Jesse Vaughan,28,Cofounder,Landed,Education
Tony Weaver,23,Founder,Weird Enough Productions,Education
Richard Werbe,24,Cofounder,Studypool Inc,Education
Richard Williams,29,Digital Star,Human Rights Activist,Education
Ryan Williams,28,Cofounder,Jopwell,Education
David Bierman,28,Founder,"Marigold Power, Inc.",Energy
Emily Callahan,28,Cofounders,Blue Latitudes,Energy
Amber Jackson,28,Cofounders,Blue Latitudes,Energy
Cassie Bowe,28,Associate Vice President,Energy Impact Partners,Energy
Eli Harris,24,Hannah Sieber,26;,Energy
Molly Grear,28,PhD Candidate,University of Washington,Energy
Ian Hamilton,25,CEO,"Atlas Energy Systems, LLC",Energy
Hannah Herbst,17,Inventor,BEACON,Energy
Maher Damak,27,Cofounders,Infinite Cooling,Energy
Karim Khalil,27,Cofounders,Infinite Cooling,Energy
Prateek Joshi,29,Founder,Pluto AI,Energy
Robert Kabera,29,CEO,"Credimarks, Inc.",Energy
Tian Li,29,Postdoc researcher,"University of Maryland, College Park",Energy
David Magid,29,Business Owner,YSG Solar,Energy
Chadwick Manning,28,Cofounder,"ElectrIQ Power, Inc.",Energy
Scott Martin,25,Principal,8 Rivers Capital,Energy
Matthew Murbach,26,Cofounder,"Battery Informatics, Inc.",Energy
Lane Nelson,29,Cofounder,Switched Source LLC,Energy
Jess Newman,29,Director of US Agronomy,Anheuser Busch InBev,Energy
Nores,28,CEO,StoneWay Capital Corporation,Energy
Ethan Novek,18,Founder,Innovator Energy,Energy
Annie Ostojic,15,Innovator and Student Researcher,National Center for Women and Information Technology,Energy
Lauren Otto,27,Founder,Laminera,Energy
Jake Rozmaryn,27,Vice President/Strategy and Biz Dev,Antenna Group,Energy
Saheb Sabharwal,29,Vice President,CSL Capital Management,Energy
Tirthak Saha,25,Grid Modernization Engineer,American Electric Power,Energy
Lauren Salz,29,Cofounder,sealed.com,Energy
Yichen Shen,28,Research Scientist,Massachusetts Institute of Technology,Energy
Adam Small,28,CEO,Urbix Resources,Energy
Alden Keefe Sampson,27,Cofounders,Upstream Tech,Energy
Marshall Moutenot,26,Cofounders,Upstream Tech,Energy
Justin Whiteley,29,Cofounder,Emergy Labs,Energy
Dani Arnaout,27,Cofounders,Abstract Layer,Enterprise Technology
Jihad Kawas,20,Cofounders,Abstract Layer,Enterprise Technology
Kumesh Aroomoogan,25,Cofounders,Accern Corporation,Enterprise Technology
Anshul Vikram Pandey,26,Cofounders,Accern Corporation,Enterprise Technology
Zeina Barr,29,Founder,Raise the Barr,Enterprise Technology
Enis Gayretli,27,Cofounders,Botanalytics,Enterprise Technology
Ilker Koksal,27,Cofounders,Botanalytics,Enterprise Technology
Greg Brockman,29,CTO,OpenAI,Enterprise Technology
Joel Pazhayampallil,27,Will (Wei) Song,27;,Enterprise Technology
S. Zayd Enam,25,CEO,Cresta,Enterprise Technology
Gregory Falco,29,Cofounder,NeuroMesh,Enterprise Technology
Joseph Fasone,23,CEO,Pilot,Enterprise Technology
Yuan Gao,29,CTO,Mavrx Inc.,Enterprise Technology
Micah Green,21,Founder,Maidbot,Enterprise Technology
Jay Hammonds,25,VIP Operations,Facebook,Enterprise Technology
Khizer Hayat,28,CTO,ThroughPut Inc.,Enterprise Technology
Karson Humiston,25,Founder,Vangst,Enterprise Technology
Richie Hyden,29,Cofounder,IRIS.TV,Enterprise Technology
Leif K-Brooks,27,Cofounder,Octane AI,Enterprise Technology
Saurabh Ladha,26,CEO,"Doxel, Inc.",Enterprise Technology
Vinay Hiremath,25,Shahed Khan,22;,Enterprise Technology
Sabrina Atienza,27,Cofounders,Qurious,Enterprise Technology
George Ramonov,28,Cofounders,Qurious,Enterprise Technology
Tiffany Chu,37,Cofounders,Remix,Enterprise Technology
Daniel Getelman,35,Cofounders,Remix,Enterprise Technology
Soroush Salehian,29,CEO and Cofounder,"Aeva, Inc.",Enterprise Technology
Lucy Guo,23,Cofounders,Scale,Enterprise Technology
Alexandr Wang,20,Cofounders,Scale,Enterprise Technology
Erik Schluntz,24,Cofounder,Cobalt Robotics,Enterprise Technology
Syed Ahmed,29,Cofounders,TARA,Enterprise Technology
Iba Masood,28,Cofounders,TARA,Enterprise Technology
Jon Goldsmith,19,Cofounders,Tetra,Enterprise Technology
Nik Liolios,20,Cofounders,Tetra,Enterprise Technology
Steven Valencsin,29,Founder,Growers,Enterprise Technology
Ethan Barhydt,26,Cofounders,VoiceOps,Enterprise Technology
Daria Rose Evdokimova,24,Cofounders,VoiceOps,Enterprise Technology
Michael Garland,26,Cofounders,WorkRamp,Enterprise Technology
Percia Safar,27,Cofounders,WorkRamp,Enterprise Technology
Leo Yeykelis,29,Quantitative UX Research Lead,Waymo,Enterprise Technology
Anne-Victoire Auriault,29,Vice President,Goldman Sachs,Finance
Ben Bologna,29,Managing Director,Maverick Capital,Finance
Vitalik Buterin,23,Founder,Ethereum,Finance
Olaf Carlson-Wee,28,Founder,Polychain Capital,Finance
Danielle Cooper,28,Vice President,Bank of America,Finance
Tom Dadon,26,Head of Mergers & Acquisitions,The Kraft Heinz Company,Finance
Wendy De La Rosa,28,Cofounder,Common Cents Lab,Finance
Michael Dechert,29,Analyst,Farallon Capital Management,Finance
Michael Ding,27,Investment Analyst,Coatue Management,Finance
Luca Lin,27,Christina Qi,26;,Finance
Maria Egee,29,Director,Bank of America,Finance
Quinten Farmer,27,Cofounder,Even,Finance
Jonathan Fife,29,Portfolio Manager,BlueMountain Capital Management,Finance
Lalit Gurnani,28,Associate,Goldman Sachs,Finance
Jason Guss,28,Cofounder,Octane Lending,Finance
Peter Gylfe,29,Founder,Bay Street Capital Partners,Finance
Salim Hirji,28,Principal,Apollo Global Management,Finance
Amol Jain,29,Analyst,Duquesne Family Office,Finance
Thomas Kamei,27,Senior Associate,Morgan Stanley,Finance
Charles Korn,29,Partner,"Pershing Square Capital Management, L.P.",Finance
David Levine,29,Principal,Blackstone Group,Finance
Fahmi Quadir,27,Founder,Safkhet Capital Management,Finance
Douglas Schadewald,28,Vice President,Barclays,Finance
David Sklar,29,Vice President,Bank of America,Finance
Saron Tesfalul,28,Vice President,Bain Capital,Finance
Ryan Williams,29,Cofounder,Cadre,Finance
Grant Wonders,27,Portfolio Manager,Viking Global Investors,Finance
Charles Young,28,Vice President,Morgan Stanley,Finance
Julia Yu,28,Investment Analyst,Millennium Management,Finance
Aaron Caddel,26,Founder,Mr. Holmes Bakehouse,Food & Drink
Sommer Carroll,26,Cofounder,Dirty Lemon Beverages,Food & Drink
Marian Cheng,29,Cofounder,Mimi Cheng's Dumplings,Food & Drink
Benjamin Chesler,25,Cofounder,Imperfect Produce,Food & Drink
Chase Damiano,29,Co-owners,Commonwealth Joe Coffee Roasters,Food & Drink
Jeremy Martin,29,Co-owners,Commonwealth Joe Coffee Roasters,Food & Drink
Ayesha Curry,28,Chef-personality,Self-Employed,Food & Drink
Mike Dee,27,Cofounders,Foodworks,Food & Drink
Nick Devane,26,Cofounders,Foodworks,Food & Drink
David Foulquier,27,Owner,Fooq's,Food & Drink
Daniel Honig,28,Founder,Happy Valley Meat Company,Food & Drink
Victoria James,27,Corporate Beverage Director,COTE (Gracious Hospitality Mangement),Food & Drink
Laura Johnson,26,Founder,You & Yours Distilling Co.,Food & Drink
Erik Brust,25,Cofounders,JonnyPops,Food & Drink
Connor Wray,25,Cofounders,JonnyPops,Food & Drink
Justin Kamine,28,Cofounder,KDC,Food & Drink
Tracy Lawrence,28,Cofounder,Chewse,Food & Drink
Irene Li,27,Cofounder,Mei Mei Restaurant & Street Kitchen,Food & Drink
Marguerite Mariscal,28,VP of Brand & Design,Momofuku,Food & Drink
Graham Fortgang,25,Cofounders,MatchaBar,Food & Drink
Max Fortgang,28,Cofounders,MatchaBar,Food & Drink
Shawn Nagpal,29,Founder,Nagpal Restaurant Group,Food & Drink
Grant Pinkerton,29,Pitmaster-Owner,Pinkerton's Barbecue,Food & Drink
Amanda Pizarro,25,Cofounder,The Salty Donut,Food & Drink
Anna Polonsky,29,Cofounder,The MP Shift,Food & Drink
sar Ponsonnet,29,Maître D',Le Bernardin,Food & Drink
Daniel Kurzrock,28,Cofounders,ReGrained,Food & Drink
Jordan Schwartz,27,Cofounders,ReGrained,Food & Drink
Grant Reynolds,29,Partner,Delicious Hospitality Group,Food & Drink
Amy Zitelman,36,Cofounders,Soom Foods,Food & Drink
Jackie Zitelman,38,Cofounders,Soom Foods,Food & Drink
Carlie Steiner,26,Co-Owner,Himitsu,Food & Drink
Michael Tierney,28,Founder,Mikey's LLC,Food & Drink
Peter Yang,29,Cofounder,Pokeworks,Food & Drink
Maria Zizka,29,Cookbook Writer,Self-Employed,Food & Drink
Becca Bair,29,Cofounder,Twin Otter Studios,Games
Caitlin Banford,28,Technical Product Manager,Riot Games,Games
ren Bjerg,21,Professional Gamer,Team SoloMid,Games
Bryce Blum,29,Founding Partner,ESG Law,Games
James Boehm,21,Cofounder,Mixer,Games
Tucker Boner,24,Streamer,iijeriichoii LLC,Games
Ashly Burch,27,Actress,,Games
Nicky Case,23,Designer,,Games
Lauren Cason,27,Senior Artist,Ustwo Games,Games
Lester Chen,29,Global Head of Esports,YouTube,Games
Sam Coster,28,Cofounder,Butterscotch Shenanigans,Games
David DeCarmine,29,Founder,Game Jolt,Games
az,26,Investor,Index Ventures,Games
Mark Fischbach,28,YouTuber,Markiplier,Games
Sabina Foisor,28,Woman Grandmaster,US Chess Federation,Games
Toby Fox,26,Designer,,Games
Leighton Gray,20,Co-writers,Game Grumps,Games
Vernon Shaw,29,Co-writers,Game Grumps,Games
George Georgallidis,27,Founder,Counter Logic Gaming,Games
Robyn Gray,27,Cofounder,Otherworld Interactive,Games
Sue Lee,27,Partnerships Associate,Twitch,Games
Erik Martin,24,Senior Education Program Manager,Unity Technologies,Games
Andrew Maximov,27,Technical Art Director,Naughty Dog,Games
Blake Rochkind,29,Video Game Agent,United Talent Agency,Games
Jake Stauch,26,Founder,NeuroPlus,Games
Eric Stirpe,29,Season Lead Writer,Telltale Games,Games
James Iliff,27,Cofounders,Survios,Games
Alexander Silkin,26,Cofounders,Survios,Games
Stanislav Vishnevskiy,29,Cofounder,Discord,Games
Jenny Xu,20,Founder,JCSoft Inc.,Games
Saleem Young,23,Professional Gamer,Most Valuable Gaming,Games
Omar Abudayyeh,27,M.D.-Ph.D.,"Ph.D. candidates, Broad Institute, Harvard-MIT",Healthcare
Jonathan Gootenberg,26,M.D.-Ph.D.,"Ph.D. candidates, Broad Institute, Harvard-MIT",Healthcare
Sol Chen,22,Cofounders,Clara Health,Healthcare
Evan Ehrenberg,24,Cofounders,Clara Health,Healthcare
Giffin Daughtridge,29,Cofounder,UrSure,Healthcare
Kevin Eisenfrats,24,Cofounder,Contraline,Healthcare
Ivonna Dumanyan,23,Cofounders,Fathom AI,Healthcare
Gabrielle Levac,26,Cofounders,Fathom AI,Healthcare
Trit Garg,28,Resident Physician,Stanford Health Care,Healthcare
Manik Bhat,27,Eric Conner,28;,Healthcare
Eric Pahl,24,Cofounders,HealthTech Solutions,Healthcare
Dalton Shaull,23,Cofounders,HealthTech Solutions,Healthcare
Doug Jacobs,28,Primary Care Physician,Brigham and Women's Hospital and Harvard Medical School,Healthcare
Alistair Johnson,28,Research Scientist,"Laboratory for Computational Physiology, Massachusetts Institute of Technology",Healthcare
Moufeed Kaddoura,25,Cofounder,ExVivo Labs,Healthcare
Kunwoo Lee,29,Cofounder,GenEdit,Healthcare
Oren Miron,29,Research Associate,Harvard Medical School,Healthcare
Adelanwa Adesanya,27,Cofounders,Moving Analytics,Healthcare
Shuo Qiao,27,Cofounders,Moving Analytics,Healthcare
Waleed Asif,25,Cofounders,NexHealth,Healthcare
Alamin Uddin,24,Cofounders,NexHealth,Healthcare
Kyle Powers,29,Cofounder,PrestoDoctor,Healthcare
Andreas Puschnik,29,Fellow,Chan Zuckerberg Biohub,Healthcare
Siddarth Satish,29,Founder,Gauss Surgical,Healthcare
Akshaya Shanmugam,29,Cofounder,Lumme,Healthcare
Cody Simmons,29,CEO,DermaSensor,Healthcare
Sourav Sinha,28,Cofounder,Oncolinx,Healthcare
Andrew Brimer,27,Cofounders,Sparo,Healthcare
Abby Cohen,26,Cofounders,Sparo,Healthcare
Jeffrey Huber,28,Cofounders,Standard Cyborg,Healthcare
Garrett Spiegel,29,Cofounders,Standard Cyborg,Healthcare
Cathy Tie,21,Cofounder,Ranomics,Healthcare
R. Danae Vachata,29,Cofounder,Dynamic Surgical & Mallium,Healthcare
Lea von Bidder,27,Cofounder,Ava Science,Healthcare
Andrew Warren,28,Founding Scientist & Product Development Lead,Glympse Bio,Healthcare
Travis Whitfill,28,Cofounder,Azitra,Healthcare
Cheryl Zogg,28,MD-PhD Candidate,"Health Law Fellow, Yale School of Medicine, Yale Law School",Healthcare
Kara Brown,29,Writer,,Hollywood & Entertainment
Fatimah Asghar,36,Co-creators,Brown Girls,Hollywood & Entertainment
Sam Bailey,37,Co-creators,Brown Girls,Hollywood & Entertainment
Steven Caple Jr.,29,Director,Writer,Hollywood & Entertainment
Ben Davis,28,Agent,WME,Hollywood & Entertainment
Eric Fleischman,28,Producer,"Cofounder, Defiant Studios",Hollywood & Entertainment
Sabaah Folayan,27,Director,Producer,Hollywood & Entertainment
Jermaine Fowler,29,Actor,Comedian,Hollywood & Entertainment
Micah Fowler,19,Actor,,Hollywood & Entertainment
Sam French,28,Head of Strategy & Business Development,A24,Hollywood & Entertainment
Gigi Gorgeous,25,Digital Star,,Hollywood & Entertainment
Amanda Hymson,29,Agent,United Talent Agency,Hollywood & Entertainment
Riley Keough,28,Actor,,Hollywood & Entertainment
Joel Kim Booster,29,Comedian,Writer,Hollywood & Entertainment
Zoe Kravitz,29,Actor,,Hollywood & Entertainment
Daniel Kwan,29,Director,,Hollywood & Entertainment
Sasha Lane,22,Actor,,Hollywood & Entertainment
Juan Pablo Martinez Zurita,21,Digital Star,,Hollywood & Entertainment
Madina Nalwanga,17,Actor,,Hollywood & Entertainment
Sono Patel,29,Producer,Writer,Hollywood & Entertainment
Ben Platt,24,Actor,,Hollywood & Entertainment
Esther Povitsky,29,Actor,Comedian,Hollywood & Entertainment
Madeline Sayet,28,Director,,Hollywood & Entertainment
Yara Shahidi,17,Actor,,Hollywood & Entertainment
Alia Shawkat,28,Actor,,Hollywood & Entertainment
Trey Edward Shults,29,Director,"Producer, Writer",Hollywood & Entertainment
Kofi Siriboe,23,Actor,,Hollywood & Entertainment
Hailee Steinfeld,21,Actor,Musician,Hollywood & Entertainment
Amandla Stenberg,19,Actor,,Hollywood & Entertainment
Kaitlyn Yang,29,Founder,Alpha Studios,Hollywood & Entertainment
Lauren Aronson,29,Press Secretary,House Ways and Means Committee,Law & Policy
Yaniv Barzilai,29,Counterterrorism Policy Advisor for North Africa,U.S. Department of State,Law & Policy
James Braid,28,Deputy Chief of Staff,Office of the Honorable Ted Budd,Law & Policy
Alexander Chen,29,Equal Justice Works Fellow,National Center for Lesbian Rights,Law & Policy
Ann Conant,27,Assistant to the Deputy Director,White House Domestic Policy Council,Law & Policy
Lisa Conn,29,Strategic Partner Manager,"Communities — Civic Leadership, Facebook",Law & Policy
Allison Drutchas,29,Counsel,"Autonomous Vehicles, General Motors",Law & Policy
Chelsea Follett,27,Managing Editor of HumanProgress.org,CATO Institute,Law & Policy
a Aceves,29,Master's student,London School of Economics,Law & Policy
Artem Goldman,26,CEO,Visabot,Law & Policy
Jeet Guram,29,Senior Advisor to the Administrator,Centers for Medicare & Medicaid Services,Law & Policy
Tsion Gurmu,29,Legal Fellow,African Services Committee,Law & Policy
Victoria Herrmann,27,President & Managing Director,The Arctic Institute,Law & Policy
Aditi Juneja,27,New York State Excelsior Service Fellow,New York State Homes and Community Renewal,Law & Policy
Georges Clement,27,Cofounders,JustFix.nyc,Law & Policy
Daniel Kass,27,Cofounders,JustFix.nyc,Law & Policy
Charlie Kirk,24,Founder and Executive Director,Turning Point USA,Law & Policy
Christian Haigh,23,Cofounders,Legalist,Law & Policy
Eva Shang,21,Cofounders,Legalist,Law & Policy
Brian Miller,26,Director of Legal and Public Affairs,Center for Individual Rights,Law & Policy
Travis Nembhard,29,Administrative Law Judge,DC Department of For-Hire Vehicles,Law & Policy
Rohan Pavuluri,22,Cofounder,Upsolve,Law & Policy
Jacob Reses,27,Director of Strategic Initiatives,"Advisor to the CEO, Heritage Action for America",Law & Policy
Jordan Richardson,29,Senior Policy Analyst,Charles Koch Institute,Law & Policy
Alvand Salehi,27,Senior Technology Advisor,The White House,Law & Policy
Hernandez Stroud,29,Visiting Assistant Professor of Law,Washington and Lee University School of Law,Law & Policy
