name,age,description
Carly Cushnie,,"What does it take to dress Michelle Obama? For London-born fashion designer Carly Cushnie and her partner Michelle Ochs it boils down to their unique sense of style."
Adele,,""
Avicii
Justin Bieber
Benny Blanco
Drake
Daniel Ek (Spotify)
Lady Gaga
Skylar Grey
Calvin Harris
Matt Jones (Crowdsurge)
Ke$ha
Wiz Khalifa
Adam Kluger (The Kluger Agency)
Kendrick Lamar
Ilan Zechory, Tom Lehman (Rap Genius)
Bruno Mars
Mac Miller
Marcus Mumford
Frank Ocean
One Direction
Katy Perry
Delta Rae
Rihanna
Elias Roman, Peter Asbill, Elliott Breece, Eric Davich (Songza)
James "J" Sider (BandPage)
Skrillex
Taylor Swift
Sam Tarantino, Josh Greenberg (Grooveshark)
Alex White (The Next Big Sound)
Sara Winter (AEG Live)
