Name,Age,Title,Company,Category
Stirling Barrett,29,Founder,KREWE,Art & Style
Emily Adams Bode,29,Fashion Designer,Bode,Art & Style
Jordan Casteel,29,Artist,,Art & Style
Alex Chaves,28,Artist,,Art & Style
Alexandre Daillance,21,Cofounder,NASASEASONS,Art & Style
Violet Dennison,29,Artist,,Art & Style
John Edmonds,29,Artist,,Art & Style
Lisk Feng,28,Illustrator,,Art & Style
Chelsea Goldman,28,Fashion Designer,CF. Goldman,Art & Style
Danielle Guizio,28,Fashion Designer,Danielle Guizio,Art & Style
Matthew Angelo Harrison,28,Artist,,Art & Style
Felicia Hung,27,Cofounders,In Common With,Art & Style
Nicholas Ozemba,27,Cofounders,In Common With,Art & Style
Simon St. James LeComte,26,Designer,Simon St. James Studio,Art & Style
Hannah Levy,27,Artist,,Art & Style
Victoria Manganiello,29,Artist,,Art & Style
Tyler Mitchell,23,Photographer,,Art & Style
Erin Jane Nelson,29,Artist,,Art & Style
Julien Nguyen,27,Artist,,Art & Style
Soe Yu Nwe,29,Artist,,Art & Style
Kayode Ojo,28,Artist,,Art & Style
Jade Kuriki Olivo,29,Artist,Puppies Puppies,Art & Style
rez,29,Artist,,Art & Style
Roya Sachs,27,Curator,Lever House Art Collection,Art & Style
Mark Shami,27,Founder,The M Jewelers,Art & Style
Kim Shui,28,Fashion Designer,Kim Shui,Art & Style
Sarah Staudinger,29,Fashion Designer,STAUD,Art & Style
or,27,Fashion Designer,RHUDE,Art & Style
Alyssa Wasko,29,Fashion Designer,DONNI,Art & Style
JooHee Yoon,29,Illustrator,,Art & Style
Tom Currier,27,Cofounder,Cabin,Consumer Technology
Sara DeCou,27,Cofounder,Brud,Consumer Technology
Ryan Delk,27,Chief Operating Officer,Omni,Consumer Technology
Cameron Dearsley,23,Cofounders,Drop,Consumer Technology
Darren Fung,28,Cofounders,Drop,Consumer Technology
Shri Ganeshram,24,VP Growth,"Analytics & Strategy, Eaze",Consumer Technology
Akash Nigam,26,Cofounders,Genies,Consumer Technology
Evan Rosenbaum,26,Cofounders,Genies,Consumer Technology
Artem Fedyaev,28,Cofounders,Grabr,Consumer Technology
