Name,Age,Title,Company,Category
Chloe Gordon,29,Fashion Designers,Beaufille,Art & Style
Parris Gordon,26,Fashion Designers,Beaufille,Art & Style
Danielle Bernstein,24,Blogger,WeWoreWhat,Art & Style
James Charles,17,Makeup Artist,,Art & Style
Petra Collins,24,Artist,,Art & Style
Morgan Curtis,29,Lingerie Designer,Morgan Lane,Art & Style
Pablo Delcan,27,Graphic Designer,Delcan & Company,Art & Style
Peche Di,27,Model and Founder,Trans Models,Art & Style
Candice Galek,29,Founder,Bikini Luxe,Art & Style
Skyler Grey,16,Artist,,Art & Style
Michael Xufu Huang,22,Collector and Museum Founder,M WOODS,Art & Style
Misha Kahn,27,Artist,,Art & Style
Tahir Carl Karmali,29,Artist,,Art & Style
Julia Gudish Krieger,28,Founder,VillageLuxe,Art & Style
Claudia Li,28,Fashion Designer,Claudia Li,Art & Style
Angela Luna,22,Fashion Designer,Adiff,Art & Style
Sarah Meyohas,25,Artist,,Art & Style
Jane Moseley,29,Artist,,Art & Style
Bethany Mota,21,Vlogger,,Art & Style
Willa Nasatir,26,Artist,,Art & Style
Jake Rosenberg,29,Cofounder,Coveteur,Art & Style
Rachel Rossin,29,Artist,,Art & Style
Tschabalala Self,26,Artist,,Art & Style
Amy Shepsman,29,Jewelry Designer,Flaca Jewelry,Art & Style
Marieclaire St. John,29,Fashion Designer,Dresshirt,Art & Style
Vanessa Stofenmacher,29,Founder,Vrai & Oro,Art & Style
Katie Stout,27,Artist,Designer,Art & Style
Paige Dellavalle Walker,29,Jewelry Designer,Stella Valle,Art & Style
John Wise,29,Cofounder,Lovepop,Art & Style
Jamie Wolfond,25,Industrial Designer,Good Thing,Art & Style
Joseph Lau,27,Cofounders,Down to Lunch,Consumer Technology
Nikil Viswanathan,29,Cofounders,Down to Lunch,Consumer Technology
Ben Christensen,24,Garrett Lord,27;,Consumer Technology
Jeremie Lasnier,27,Andre Lorenceau,27;,Consumer Technology
Sergey Gonchar,24,Cofounders of MSQRD,Facebook,Consumer Technology
Eugene Nevgen,24,Cofounders of MSQRD,Facebook,Consumer Technology
Michael Brandt,28,Cofounders,Nootrobox,Consumer Technology
Geoffrey Woo,28,Cofounders,Nootrobox,Consumer Technology
Joseph Bernstein,28,Cofounders,Periscope,Consumer Technology
Kayvon Beykpour,28,Cofounders,Periscope,Consumer Technology
Mattieu Gamache-Asselin,26,Cofounders,Scriptdash,Consumer Technology
Jamie Karraker,27,Cofounders,Scriptdash,Consumer Technology
Colin Beighley,28,Cofounders,Swift Navigation,Consumer Technology
Fergus Noble,29,Cofounders,Swift Navigation,Consumer Technology
Matthew Bailey,27,Aaron Grant,27;,Consumer Technology
Joshua Dziabiak,29,Cofounders,The Zebra,Consumer Technology
Adam Lyons,29,Cofounders,The Zebra,Consumer Technology
Ben Anderson,28,Cofounder,Amino Apps,Consumer Technology
Christina Bognet,29,Cofounder,PlateJoy,Consumer Technology
Steve El-Hage,27,Cofounder ,Massdrop,Consumer Technology
Yunha Kim,27,Founder,Simple Habit,Consumer Technology
Kai Kloepfer,19,Founder,Biofire Technologies,Consumer Technology
Lexie Komisar,29,Senior Lead,"IBM Digital Innovation Lab, IBM",Consumer Technology
Noah Kraft,29,Cofounder,Doppler Labs,Consumer Technology
Cory Levy,25,Cofounder ,"One, Inc.",Consumer Technology
Alexey Moiseenkov,26,Cofounder,Prisma Labs,Consumer Technology
Keller Rinaudo,29,Cofounder,Zipline,Consumer Technology
Jonathan Rodriguez,27,Spectacles Architect,Snapchat,Consumer Technology
JD Ross,26,Cofounder,OpenDoor,Consumer Technology
David Rust,27,Director of Operations Strategy,Lyft,Consumer Technology
Brian Tolkin,26,Sr. Product Manager,"Shared Rides, Uber",Consumer Technology
Evan Wallace,27,Cofounder,Figma,Consumer Technology
Justin Wetherill,29,Cofounder,uBreakiFix,Consumer Technology
Whitney Wolfe Herd,27,Founder,Bumble,Consumer Technology
Ajay Yadav,29,Founder,Roomi,Consumer Technology
Alexandra Zatarain,27,Cofounder,Eight,Consumer Technology
Gregory Brown,28,Creators,AsapSCIENCE,Education
Mitchell Moffit,28,Creators,AsapSCIENCE,Education
Luke Heine,22,Cofounders,Fair Opportunity Project,Education
Cole Scanlon,20,Cofounders,Fair Opportunity Project,Education
Rachel Romer Carlson,28,Cofounders,Guild Education,Education
Brittany Stich,28,Cofounders,Guild Education,Education
n,25,Cofounders,honorCode,Education
Dylan Stone-Miller,26,Cofounders,honorCode,Education
Jonathan Gottfried,26,Cofounders,Major League Hacking,Education
Mike Swift,27,Cofounders,Major League Hacking,Education
Jacobi Petrucciani,22,Prahasith Veluvolu,21;,Education
Evin Robinson,26,Cofounders,New York On Tech,Education
Jessica Santana,27,Cofounders,New York On Tech,Education
Jacob Allen,28,Cofounders,pilotED Schools,Education
Marie Dandie,27,Cofounders,pilotED Schools,Education
Jirayut Latthivongskorn,27,Cofounders,Pre-Health Dreamers,Education
Denisse Rojas Marquez,27,Cofounders,Pre-Health Dreamers,Education
Jordan Levy,24,Andrew Pohle,27;,Education
Sophia Parsa,25,Cofounders,toot,Education
Shakib Zabihian,25,Cofounders,toot,Education
Louise Baigelman,29,Cofounder,Story Shares,Education
Blair Brettschneider,27,Founder,GirlForward,Education
Nicole Cardoza,27,Founder,Yoga Foster,Education
Hardy Farrow,26,Executive Director,Let's Innovate through Education,Education
Jeremy Fiance,25,Founder,The House Fund,Education
Jason Field,27,Founder,BrainStation,Education
Mendell Grinter,25,Founder,Campaign for School Equity,Education
Ryan Hoch,29,Cofounder,Overgrad,Education
Sieva Kozinsky,26,Cofounder,StudySoup,Education
Jenna Leahy,28,Co-CEO,CASA Academy,Education
Elijah Mayfield,27,Vice President of New Technologies,Turnitin,Education
Shanyn Ronis,29,Founder,Education Global Access Program,Education
Jeff Sorensen,27,Founder,optiMize,Education
Leandra Tejedor,25,Cofounder,Vidcode,Education
Joe Vasquez,27,Founder,Michelson Runway Accelerator,Education
Cliff Weitzman,22,Founder,Speechify,Education
Alec Whitters,29,CEO,Higher Learning Technologies,Education
Tamara Wilkerson,26,Executive Director,African American Teaching Fellows,Education
David Freed,28,Principals,NetPower,Energy
