category,name,age,title
"social-media","Drew Afualo","29","CREATOR"
"social-media","Royce Branning, Oliver Hill","28, 27","COFOUNDERS, CLEARSPACE"
"social-media","Joe Ando-Hirsh","28","CONTENT CREATOR"
"social-media","Enola Bedard","24","CONTENT CREATOR"
"social-media","Joel Bervell","29","CONTENT CREATOR"
"social-media","Ian Boggs","26","CREATOR, INSTAGRAM"
"social-media","Toni Bravo","24","CONTENT CREATOR"
"social-media","Parker Butler","24","DIRECTOR, KAMALA HARRIS FOR PRESIDENT (@KAMALAHQ)"
"social-media","Amanda Diaz","24","CONTENT CREATOR, THIS IS ABOUT HUMANITY"
"social-media","Meredith Duxbury","25","CONTENT CREATOR"
"social-media","Arielle Geismar, Zamaan Qureshi","23, 22","CO-CHAIRS, DESIGN IT FOR US"
"social-media","Kahlil Greene","24","CONTENT CREATOR, GEN Z HISTORIAN"
"social-media","Carlos Espina","25","FOUNDER, MIGRANTES UNIDOS"
"social-media","Reece Feldman","26","CONTENT CREATOR"
"social-media","Golloria George","23","CONTENT CREATOR"
"social-media","Owen Han","26","CONTENT CREATOR"
"social-media","Alex Haraus","26","CONTENT CREATOR"
"social-media","Jordan Howlett","27","CONTENT CREATOR"
"social-media","Stephanie Hu","20","FOUNDER, DEAR ASIAN YOUTH"
"social-media","Andre Jones","29","DIGITAL TALENT AGENT, WME"
"social-media","Angela Lee","27","GRADUATE RESEARCHER, STANFORD UNIVERSITY"
"social-media","Emma Lembke, Clara Wasserman","22, 21","COFOUNDERS, LOG OFF"
"social-media","April Lockhart","29","CONTENT CREATOR"
"social-media","Chris McCarty","20","FOUNDER, QUIT CLICKING KIDS"
"social-media","Erin McGoff","29","FOUNDER, ADVICEWITHERIN"
"social-media","Anna Nordstrom","27","PRODUCT MANAGER, TIKTOK"
"social-media","Steve Rathje","29","PSYCHOLOGY RESEARCHER, NEW YORK UNIVERSITY"
"social-media","Sophie Szew","22","NATIONAL ADVISORY COUNCILMEMBER, SUBSTANCE ABUSE AND MENTAL HEALTH SERVICES ADMINISTRATION"
"social-media","Plastique Tiara","27","FOUNDER, PLASTIQUE BEAUTY"
