Name,Age,Title,Company,Category
Abigail Lucien,28,ARTIST,FEATURED HONOREE,Art & Style
Alton Mason,24,MODEL,,Art & Style
CHIFFON THOMAS,29,Artist,,Art & Style
Cameron Granger,27,,,Art & Style
Chase Hall,27,ARTIST,,Art & Style
Cole Herrmann,28,COFOUNDERS,TEZZA,Art & Style
Dominic Chambers,27,ARTIST,,Art & Style
Elliott Jerome Brown Jr.,27,ARTIST,,Art & Style
Eru Matsumoto,29,ARTIST,,Art & Style
Fabrice Guerrier,29,FOUNDER,SYLLBLE,Art & Style
Faith Couch,23,PHOTOGRAPHER,,Art & Style
Hafsah Faizal,27,FOUNDER,ICEYDESIGNS,Art & Style
JAMALL OSTERHOLM,26,"Founder, Jamall Osterholm",,Art & Style
JOOYEON SONG,29,"Cofounder, ManiMe",,Art & Style
Jameel Mohammed,26,FOUNDER,KHIRY,Art & Style
Jasmine Rennie,29,CEO,GRACEMADE,Art & Style
Kahlil Irving,28,ARTIST,,Art & Style
Leah O'Malley,26,,,Art & Style
Lorin Gu,27,FOUNDER,RECHARGE FOUNDATION,Art & Style
Mamadi Doumbouya,23,PHOTOGRAPHER,,Art & Style
Matthew Cicanese,29,FOUNDER,MATTHEW CICANESE,Art & Style
Oge Mora,26,ILLUSTRATOR,,Art & Style
Sabrina Hahn,28,DIRECTOR,PACE GALLERY,Art & Style
Samantha Franz,29,FOUNDER,BY SAMII RYAN,Art & Style
Shelby Christie,29,FOUNDER,SHELBY IVEY CHRISTIE,Art & Style
Sophia Danner-Okotie,29,FOUNDER,BESIDA,Art & Style
Tessa Barton,29,,,Art & Style
Tori Robinson,26,COFOUNDERS,BOYS LIE,Art & Style
Xellette Stillwell,28,CEO,HIVEWORKS COMICS,Art & Style
Yohannes Yamassee,26,ARTIST,,Art & Style
Adam Eizenberg-Molnar,28,COFOUNDER,NEURABLE,Consumer Technology
Adi Sundar,29,COFOUNDER,MARBLE,Consumer Technology
Alexi Coffey,29,COFOUNDER,STEWARD,Consumer Technology
Ali Imani,26,,,Consumer Technology
Alyssa Petersel,29,FOUNDER,MYWELLBEING,Consumer Technology
Angelina Howard,29,SENIOR PRODUCT MANAGER,AMAZON,Consumer Technology
Annie Hwang,25,COFOUNDERS,JEMI,Consumer Technology
Asaf Avidan Antonir,27,,,Consumer Technology
Austin Kahn,22,,,Consumer Technology
BEN PASTERNAK,21,"Founder, Simulate",,Consumer Technology
Benjamin Kornick,26,,,Consumer Technology
Benjamin Stanfield,23,,,Consumer Technology
Bobby Giangeruso,23,COFOUNDERS,JOUR,Consumer Technology
CHRISTELLE ROHAUT,26,"Cofounder, Codi",,Consumer Technology
Colton Gardner,28,,,Consumer Technology
Courtney Sabo,27,COFOUNDERS,KOPA,Consumer Technology
Emily Hochman,28,FOUNDER,WELLORY,Consumer Technology
Evan Moskal,27,,,Consumer Technology
Gabriela Chapa,29,,,Consumer Technology
Gaurav Aggarwal,29,,,Consumer Technology
